correct_translation,sentence,pieces,Eng_Difficulty_Label,Topic_Label
The population of this city is decreasing every year.,عدد سكان هذه المدينة يتناقص كل عام,"['this', 'population', 'The', 'of', 'decreasing', 'year.', 'is', 'city', 'every']",Easy,Litrature
الطقس مثالي للرحلة.,The weather is perfect for a trip.,"['الطقس', 'مثالي', 'للرحلة.']",Easy,Subtitle
يحتاج الجسم إلى ضوء الشمس لإنتاج فيتامين د.,The body needs sunlight to produce vitamin D.,"['الشمس', 'د.', 'لإنتاج', 'فيتامين', 'يحتاج', 'ضوء', 'الجسم', 'إلى']",Easy,Health
People are looking for ways to save money on daily expenses.,الناس يبحثون عن طرق لتوفير المال على المصاريف اليومية.,"['on', 'money', 'to', 'save', 'expenses.', 'for', 'People', 'daily', 'looking', 'ways', 'are']",Easy,EcoFinancial
الرياح تشعر بالراحة.,The wind feels nice.,"['الرياح', 'تشعر', 'بالراحة.']",Easy,Subtitle
Avoid eating too much sugar to protect your teeth.,تجنب تناول الكثير من السكر لحماية أسنانك.,"['teeth.', 'much', 'protect', 'to', 'eating', 'your', 'Avoid', 'sugar', 'too']",Easy,Health
أتساءل عما سنراه بعد ذلك.,I wonder what we will see next.,"['بعد', 'سنراه', 'عما', 'أتساءل', 'ذلك.']",Easy,Subtitle
العديد من الأفراد يستثمرون في الصناديق المشتركة للتقاعد.,Many individuals invest in mutual funds for retirement.,"['الصناديق', 'المشتركة', 'العديد', 'من', 'يستثمرون', 'للتقاعد.', 'الأفراد', 'في']",Easy,EcoFinancial
قم دائمًا بتغطية فمك عند السعال أو العطس.,Always cover your mouth when you cough or sneeze.,"['دائمًا', 'السعال', 'عند', 'بتغطية', 'فمك', 'أو', 'قم', 'العطس.']",Easy,Health
كلما وجدت شيئًا يعجبني، وجدته غاليا جدا,"Whenever I find something I like, it's too expensive.","['غاليا', 'وجدته', 'كلما', 'شيئًا', 'وجدت', 'يعجبني،', 'جدا']",Easy,Litrature
No one shall be arbitrarily deprived of his property.,لا يجوز تجريد أحد من ملكه تعسفا,"['deprived', 'No', 'shall', 'property.', 'arbitrarily', 'his', 'of', 'one', 'be']",Easy,Litrature
The economy is showing signs of recovery.,الاقتصاد يظهر علامات على التعافي.,"['is', 'signs', 'showing', 'recovery.', 'of', 'economy', 'The']",Easy,EcoFinancial
العديد من الشركات تقوم بتوزيع أرباح للمساهمين.,Many companies are issuing dividends to their shareholders.,"['أرباح', 'الشركات', 'من', 'بتوزيع', 'العديد', 'للمساهمين.', 'تقوم']",Easy,EcoFinancial
في البداية واجه صعوبة في التأقلم مع بيته الجديد,At first he had trouble getting used to his new house.,"['البداية', 'الجديد', 'بيته', 'مع', 'في', 'واجه', 'التأقلم', 'في', 'صعوبة']",Easy,Litrature
يقول توم بأنه ليس هو من كسر النافذة,Tom says that he wasn't the one who broke the window.,"['ليس', 'من', 'توم', 'كسر', 'هو', 'بأنه', 'النافذة', 'يقول']",Easy,Litrature
إنه أحد المجالات الفرعية للمعلوماتية الصحية.,It is one of the subdomains of health informatics.,"['الفرعية', 'إنه', 'للمعلوماتية', 'الصحية.', 'أحد', 'المجالات']",Easy,Health
I must calculate how much money I'll spend next week.,يجب علي حساب كمية المال الذي سوف أنفقه الاسبوع المقبل,"['calculate', 'spend', 'money', 'week.', ""I'll"", 'I', 'must', 'next', 'much', 'how']",Easy,Litrature
