Sentence,Translation,Question,Correct_Answer,Eng_Difficulty_Label,Topic_Label
The government is working to improve the economy.,الحكومة تعمل على تحسين الاقتصاد.,What specific area is the government focused on improving?,the economy,Easy,EcoFinancial
أحب الهواء النقي.,I love the fresh air.,ما هو الشيء الذي أحبه بالتحديد؟,الهواء النقي,Easy,Subtitle
I left Shanghai last year and have not yet been back.,أنا غادرت شانكاهاي العام الماضي ولم أعُد بعد,How long has it been since I left Shanghai?,one year,Easy,Litrature
الديون الوطنية زادت خلال السنوات الماضية.,The national debt has increased over the past few years.,متى تحديدًا شهدت الديون الوطنية ارتفاعًا؟,خلال السنوات الماضية,Easy,EcoFinancial
The government is increasing investment in infrastructure projects.,الحكومة تزيد من الاستثمارات في مشاريع البنية التحتية.,In which sector is the government specifically increasing its investment?,infrastructure projects,Easy,EcoFinancial
أستطيع أن أشعر بدفء الشمس.,I can feel the warmth of the sun.,ما هي تحديدًا الحاسة التي أستخدمها لادراك دفء الشمس؟,الشعور بالدفء,Easy,Subtitle
"For example, research has shown that the simple act of handwashing with soap can prevent the spread of many contagious diseases.",فعلى سبيل المثال، أظهرت الأبحاث أن التصرفات البسيطة لغسيل اليدين بالصابون لها القدرة على الوقاية من العديد من الأمراض المعدية.,"What specific practice, supported by research, can help prevent contagious diseases?",handwashing with soap,Easy,Health
عدد سكان الصين أكبر من اليابان,The population of China is larger than that of Japan.,بالمقارنة مع اليابان، من الدولة التي لديها عدد سكان أكبر؟,الصين,Easy,Litrature
The parliament makes laws for the country.,يضع البرلمان القوانين للبلاد.,What is the specific body responsible for creating laws for the country?,the parliament,Easy,Legal
أشعر بحرية كبيرة هنا.,I feel so free here.,ما هو الشعور الذي يسيطر علي في هذا المكان بالتحديد؟,حرية كبيرة,Easy,Subtitle
International law governs relationships between countries.,ينظم القانون الدولي العلاقات بين الدول.,What type of law is responsible for governing relationships at a global level?,International law,Easy,Legal
I can hear the sound of water.,أستطيع سماع صوت الماء.,What is the source of the auditory sensation I'm experiencing?,the sound of water,Easy,Subtitle
يستمع القاضي إلى كلا الطرفين قبل اتخاذ القرار.,The judge listens to both sides before making a decision.,ماذا يفعل القاضي تحديدًا قبل أن يتخذ قرارًا في القضية؟,الاستماع إلى كلا الطرفين,Easy,Legal
Wash wounds with clean water to avoid infection.,اغسل الجروح بالماء النظيف لتجنب العدوى.,What specific type of water is recommended for cleaning wounds to prevent infection?,clean water,Easy,Health
"Italy will close schools and universities until 15 March to contain the virus, with crowd control measures instituted.",ستغلق إيطاليا المدارس والجامعات حتى 15 آذار لاحتواء الفيروس، بالإضافة إلى وضع تدابير للسيطرة على الحشود.,By what specific date will Italian educational institutions remain closed?,15 March,Easy,Health
آخِرُ شخصٍ أخبرتُه فكرتي ظنّنِيْ مجنونًا,The last person I told my idea to thought I was nuts.,ما هو الاعتقاد الذي تكوّن لدى آخر شخص شاركته فكرتي؟,ظنّنِيْ مجنونًا,Easy,Litrature
Use sunscreen to protect your skin from sun damage.,استخدم واقي الشمس لحماية بشرتك من أضرار الشمس.,What specific product is advised for preventing sun-induced skin damage?,sunscreen,Easy,Health
The government is reducing taxes to stimulate the economy.,الحكومة تخفض الضرائب لتحفيز الاقتصاد.,What specific financial measure is the government undertaking to boost the economy?,taxes,Easy,EcoFinancial
الناس يستخدمون الخدمات المصرفية عبر الإنترنت بشكل أكثر تكرارًا.,People are using online banking more frequently.,ما هي الطريقة التي يفضلها الناس للوصول إلى خدماتهم المصرفية هذه الأيام؟,الخدمات المصرفية عبر الإنترنت,Easy,EcoFinancial
