English,Arabic,Eng_Difficulty_Label,Topic_Label
"Maintaining a balanced diet, exercising regularly, and getting enough sleep are essential steps to improving overall health and well-being. These habits not only strengthen the immune system but also enhance mental clarity and energy levels, making everyday activities more manageable.",إن الحفاظ على نظام غذائي متوازن، وممارسة التمارين الرياضية بانتظام، والحصول على قسط كافٍ من النوم هي خطوات أساسية لتحسين الصحة العامة والرفاهية. هذه العادات لا تقوي جهاز المناعة فحسب، بل تعزز أيضًا الوضوح العقلي ومستوى الطاقة، مما يجعل الأنشطة اليومية أكثر سهولة.,Easy,Health
"Drinking plenty of water throughout the day helps to keep the body hydrated and supports essential functions like digestion and circulation. Experts recommend consuming at least eight glasses daily, especially in warm climates or during physical activities.",يساعد شرب كميات وفيرة من الماء طوال اليوم في الحفاظ على ترطيب الجسم ودعم الوظائف الأساسية مثل الهضم والدورة الدموية. يوصي الخبراء باستهلاك ما لا يقل عن ثمانية أكواب يوميًا، خاصة في المناخات الحارة أو أثناء النشاط البدني.,Easy,Health
"Regular health check-ups allow doctors to identify potential issues early and provide effective treatment before problems worsen. Preventive care, such as vaccinations and screenings, plays a critical role in staying ahead of chronic diseases.",تتيح الفحوصات الصحية المنتظمة للأطباء تحديد المشكلات المحتملة مبكرًا وتقديم علاج فعال قبل أن تتفاقم. تلعب الرعاية الوقائية، مثل التطعيمات والفحوصات الطبية، دورًا حاسمًا في الوقاية من الأمراض المزمنة.,Easy,Health
"Washing your hands frequently, especially before meals, can prevent the spread of germs and keep you healthy. This simple habit reduces the risk of infections, such as colds and flu, and protects others in your community.",غسل يديك بشكل متكرر، خاصة قبل تناول الطعام، يمكن أن يمنع انتشار الجراثيم ويحافظ على صحتك. يقلل هذا العادة البسيطة من خطر العدوى، مثل نزلات البرد والإنفلونزا، وتحمي الآخرين في مجتمعك.,Easy,Health
Signing a contract without carefully reading its terms can lead to misunderstandings and potential legal disputes in the future. It's important to seek professional advice or clarification to ensure all parties are fully aware of their obligations.,يمكن أن يؤدي توقيع عقد دون قراءة شروطه بعناية إلى سوء فهم ونزاعات قانونية محتملة في المستقبل. من المهم طلب نصيحة مهنية أو توضيح لضمان أن جميع الأطراف على دراية كاملة بالتزاماتها.,Easy,Legal
"In many countries, citizens have the right to legal representation when they are accused of committing a crime. This principle is fundamental to justice systems, ensuring that every individual receives a fair trial regardless of their background or circumstances.",في العديد من البلدان، يحق للمواطنين الحصول على تمثيل قانوني عندما يتم اتهامهم بارتكاب جريمة. هذا المبدأ أساسي لأنظمة العدالة، حيث يضمن حصول كل فرد على محاكمة عادلة بغض النظر عن خلفيته أو ظروفه.,Easy,Legal
A power of attorney grants one person the legal authority to act on behalf of another in specific matters. This document is particularly useful for managing financial or medical decisions when someone becomes incapacitated.,تمنح وثيقة التفويض لشخص ما السلطة القانونية للتصرف نيابة عن شخص آخر في مسائل محددة. تكون هذه الوثيقة مفيدة بشكل خاص في إدارة القرارات المالية أو الطبية عندما يصبح شخص ما عاجزًا.,Easy,Legal
"Understanding your rights and responsibilities under the law is crucial to avoiding unnecessary conflicts or penalties. By staying informed, individuals can better navigate legal situations and protect their interests effectively.",فهم حقوقك ومسؤولياتك بموجب القانون أمر ضروري لتجنب النزاعات أو العقوبات غير الضرورية. من خلال البقاء على اطلاع، يمكن للأفراد التعامل مع المواقف القانونية بشكل أفضل وحماية مصالحهم بفعالية.,Easy,Legal
"In Shakespeare’s Romeo and Juliet, the story revolves around two lovers whose families are caught in a bitter feud. Despite their deep love, the tension between the Montagues and Capulets leads to tragedy, highlighting themes of fate and sacrifice.",في مسرحية شكسبير روميو وجولييت، تدور القصة حول عاشقين تنتمي عائلتاهما إلى عداوة مريرة. على الرغم من حبهما العميق، فإن التوتر بين عائلتي مونتاغيو وكابوليت يؤدي إلى مأساة، مما يبرز موضوعات القدر والتضحية.,Easy,Litrature
"Classic novels often explore universal themes like love, sacrifice, and the human struggle to overcome adversity. These timeless works remain relevant across generations, offering readers profound insights into the human condition.",تستكشف الروايات الكلاسيكية غالبًا موضوعات عالمية مثل الحب، والتضحية، والنضال الإنساني للتغلب على الشدائد. تظل هذه الأعمال الخالدة ذات صلة عبر الأجيال، حيث تقدم للقراء رؤى عميقة عن الحالة الإنسانية.,Easy,Litrature
