original_sentence,sentence,missing_words,translated_sentence,Eng_Difficulty_Label,Topic_Label
السياسات الاقتصادية يمكن أن تؤثر على النمو العام للدولة.,___ الاقتصادية ___ أن تؤثر على النمو ___ للدولة.,"السياسات, العام, يمكن",Economic policies can influence the overall growth of a country.,Easy,EcoFinancial
Human Rights Committee,Human Rights ___,Committee,اللجنة المعنية بحقوق الإنسان,Easy,Legal
We always walk by the post office on the way to work.,We always walk by the ___ on the way to work.,post office,نمرّ دائمًا بجانب مكتب البريد في طريقنا إلى العمل,Easy,Litrature
Is this the first time for you to have Japanese food?,Is this the first time for you to have ___?,Japanese food,أهذه أول مرة تأكل فيها الطعام الياباني؟,Easy,Litrature
Police officers enforce the law to maintain order.,Police officers ___ the law to ___ order.,"maintain, enforce",يفرض ضباط الشرطة القانون للحفاظ على النظام.,Easy,Legal
Citizens can petition the government to address their concerns.,Citizens can ___ the ___ to address their ___.,"government, petition, concerns",يمكن للمواطنين تقديم عريضة للحكومة لمعالجة قضاياهم.,Easy,Legal
Laws differ from one country to another.,Laws ___ from one ___ to another.,"differ, country",تختلف القوانين من بلد إلى آخر.,Easy,Legal
Conferences and meetings.,___ and ___.,"meetings, Conferences",المؤتمرات والاجتماعات.,Easy,Legal
The mountains look beautiful.,The ___ look beautiful.,mountains,الجبال تبدو جميلة.,Easy,Subtitle
A fair trial is a cornerstone of justice.,A fair ___ is a ___ of ___.,"cornerstone, justice, trial",المحاكمة العادلة هي حجر الزاوية في العدالة.,Easy,Legal
Helme also said the virus would pass within a few days to a week just like the common cold.,Helme also said the ___ would ___ within a few days to a week just like the ___ cold.,"virus, pass, common",قال هيلم إن الفيروس سيزول في غضون أيام إلى أسبوع مثل الزكام.,Easy,Health
The government collects taxes to provide public services.,The ___ collects ___ to provide ___ services.,"public, taxes, government",تجمع الحكومة الضرائب لتوفير الخدمات العامة.,Easy,Legal
Financial advisors help clients manage their investments.,Financial advisors help ___ ___ their ___.,"manage, investments, clients",المستشارون الماليون يساعدون العملاء في إدارة استثماراتهم.,Easy,EcoFinancial
"The tea at my office isn't good, so I don't drink it.","The ___ at my office isn't good, so I don't drink it.",tea,إنّ الشّاي المتوفّر في مكتبي غير جيّد، إذا فأنا لا أشربه,Easy,Litrature
تناول وجبة الإفطار يساعدك على التركيز خلال اليوم.,___ ___ الإفطار يساعدك على التركيز خلال ___,"تناول, اليوم., وجبة",Eating breakfast helps you stay focused during the day.,Easy,Health
لا يمكنني الانتظار للوصول الى المنزل والنوم في سريري,لا ___ ___ للوصول الى المنزل والنوم في ___,"يمكنني, الانتظار, سريري",I can hardly wait to get home and sleep in my own bed.,Easy,Litrature
قام البنك المركزي بخفض أسعار الفائدة لتشجيع الاقتراض.,قام ___ المركزي بخفض ___ الفائدة ___ الاقتراض.,"لتشجيع, أسعار, البنك",The central bank has lowered interest rates to encourage borrowing.,Easy,EcoFinancial
تم إدخالها إلى العزل في مستشفى تيكو.,تم ___ إلى ___ في مستشفى ___,"إدخالها, العزل, تيكو.",She was admitted into isolation at Teku Hospital.,Easy,Health
التضخم يؤثر على تكلفة المعيشة.,___ ___ على تكلفة ___,"التضخم, يؤثر, المعيشة.",Inflation affects the cost of living.,Easy,EcoFinancial
It feels great to be outdoors.,It feels great to be ___.,outdoors,الشعور رائع أن أكون في الهواء الطلق.,Easy,Subtitle
السن القانونية هي الحد الأدنى من العمر المطلوب للقيام بأنشطة معينة، مثل التصويت أو الزواج.,السن القانونية هي الحد الأدنى من العمر ___ للقيام ___ معينة، مثل ___ أو الزواج.,"المطلوب, التصويت, بأنشطة","Legal age is the minimum age required to perform certain activities, like voting or marrying.",Easy,Legal
أشعر أنني في المنزل في الطبيعة.,___ ___ في ___ في الطبيعة.,"أنني, أشعر, المنزل",I feel at home in nature.,Easy,Subtitle
الطريق أمامنا يبدو رائعًا.,___ أمامنا ___ ___,"رائعًا., يبدو, الطريق",The road ahead looks amazing.,Easy,Subtitle
Laws help to keep people safe in their communities.,Laws help to keep people safe in their ___.,communities,تساعد القوانين في الحفاظ على سلامة الناس في مجتمعاتهم.,Easy,Legal
He brought food to his guest and provided him shelter.,He brought food to his guest and provided him ___.,shelter,هوَ أحضر الطعام لضيفهُ وقدم لهُ المأوىَ,Easy,Litrature
I learned how to ride a bike when I was six years old.,I learned how to ride a ___ when I was six years old.,bike,تعلمت كيفية ركوب الدراجة عندما كان عمري ست سنوات,Easy,Litrature
تضمن المحاكم تحقيق العدالة.,___ ___ ___ العدالة.,"المحاكم, تحقيق, تضمن",Courts ensure that justice is served.,Easy,Legal
Banks offer loans to individuals and businesses.,Banks offer ___ to ___ and ___.,"loans, businesses, individuals",البنوك تقدم قروضًا للأفراد والشركات.,Easy,EcoFinancial
تم فحص 612 شخص وكانت النتائج سلبية.,تم فحص 612 شخص ___ ___ ___,"وكانت, النتائج, سلبية.",612 people were tested and the results were negative.,Easy,Health
توفير المال مهم للأمن المالي.,___ ___ مهم ___ المالي.,"توفير, للأمن, المال",Saving money is important for financial security.,Easy,EcoFinancial
A hundred and fifty diplomats came to that conference.,A hundred and fifty ___ came to that conference.,diplomats,حضر المؤتمر مئة و خمسون دبلوماسي,Easy,Litrature
Let’s take a short break.,Let’s take a short ___.,break,دعونا نأخذ استراحة قصيرة.,Easy,Subtitle
الصحة النفسية لا تقل أهمية عن الصحة البدنية.,___ ___ لا تقل أهمية عن الصحة ___,"النفسية, الصحة, البدنية.",Mental health is just as important as physical health.,Easy,Health
تمنح الانتخابات الناس القدرة على اختيار قادتهم.,تمنح الانتخابات ___ ___ على اختيار ___,"قادتهم., القدرة, الناس",Elections give people the power to choose their leaders.,Easy,Legal
Governments sign treaties to promote international cooperation.,Governments ___ ___ to promote international ___.,"sign, cooperation, treaties",توقع الحكومات المعاهدات لتعزيز التعاون الدولي.,Easy,Legal
Smoking harms your lungs and overall health.,___ ___ your ___ and overall health.,"harms, Smoking, lungs",التدخين يضر برئتيك وصحتك العامة.,Easy,Health
I'm finding it difficult deciding on which one to buy.,I'm finding it difficult deciding on which one to ___.,buy,يصعب علي أن أقرر أيها سأشتري,Easy,Litrature
أنا سعيد لأننا أخذنا هذه الرحلة.,أنا سعيد ___ ___ هذه ___,"الرحلة., أخذنا, لأننا",I’m glad we took this trip.,Easy,Subtitle
Let's start our journey.,Let's start our ___.,journey,دعونا نبدأ رحلتنا.,Easy,Subtitle
النسيم مريح جدًا.,___ ___ ___,"النسيم, مريح, جدًا.",The breeze is so calming.,Easy,Subtitle
نحن نسافر بعيدًا اليوم.,We are traveling ___ today.,far,نحن نسافر بعيدًا اليوم.,Easy,Subtitle
سوق الأسهم يؤدي بشكل جيد اليوم.,سوق ___ ___ ___ جيد اليوم.,"بشكل, الأسهم, يؤدي",The stock market is performing well today.,Easy,EcoFinancial
العديد من الناس يوفرون المال من أجل المستقبل.,العديد من الناس ___ ___ من أجل ___,"يوفرون, المال, المستقبل.",Many people are saving money for the future.,Easy,EcoFinancial
Regular walking improves your heart health.,___ walking improves your ___ health.,"heart, Regular",المشي المنتظم يحسن صحة قلبك.,Easy,Health
The sky is so clear today.,The sky is so ___ today.,clear,السماء صافية جدًا اليوم.,Easy,Subtitle
The economy is growing steadily.,The ___ is growing ___.,"steadily, economy",الاقتصاد ينمو بشكل ثابت.,Easy,EcoFinancial
How did you come up with the idea for this exhibition?,How did you come up with the idea for this ___?,exhibition,كيف خطرت ببالك فكرة المعرض هذا؟,Easy,Litrature
Exercise regularly to keep your body strong.,___ ___ to keep your body ___.,"Exercise, regularly, strong",مارس الرياضة بانتظام للحفاظ على قوة جسمك.,Easy,Health
ومن اﻷهمية بمكان أن تتفق نتيجة جهودنا على نحو صارم مع مبادئ وأهداف ميثاق اﻷمم المتحدة.,ومن ___ ___ أن تتفق نتيجة جهودنا على نحو صارم مع مبادئ وأهداف ميثاق ___ المتحدة.,"اﻷهمية, اﻷمم, بمكان",It is of fundamental importance that the outcome of our efforts be in strict conformity with the purposes and principles of the Charter of the United Nations.,Hard,Legal
"تعمل العناصر الرمزية في ""مزرعة الحيوان"" لجورج أورويل كتعليق ساخر على الأنظمة السياسية.","___ العناصر الرمزية في ""مزرعة الحيوان"" لجورج أورويل كتعليق ساخر على ___ ___","الأنظمة, تعمل, السياسية.","The allegorical elements in George Orwell's ""Animal Farm"" serve as a satirical commentary on political systems.",Hard,Litrature
The company reported a substantial increase in quarterly earnings.,The company ___ a substantial increase in ___ ___.,"quarterly, earnings, reported",أبلغت الشركة عن زيادة كبيرة في أرباح الربع السنوي.,Hard,EcoFinancial
وتُعدُّ الوحدة الوطنية ذات أهمية حيوية لإحراز تقدم على الصعيد السياسي والاقتصادي والاجتماعي في ميانمار.,وتُعدُّ ___ الوطنية ذات ___ حيوية لإحراز ___ على الصعيد السياسي والاقتصادي والاجتماعي في ميانمار.,"تقدم, أهمية, الوحدة","National unity is vital for political, economic and social progress in Myanmar.",Hard,Legal
"The dense, poetic language in T.S. Eliot's ""The Waste Land"" serves as a reflection of post-World War I disillusionment and fragmentation.","The ___, poetic language in T.S. Eliot's ""The Waste Land"" serves as a ___ of post-World War I ___ and fragmentation.","reflection, disillusionment, dense","تعمل اللغة الكثيفة والشعرية في ""أرض الخراب"" لت.س. إليوت كانعكاس لخيبة الأمل والتجزئة بعد الحرب العالمية الأولى.",Hard,Litrature
Bioinformatics integrates biological data with computational tools to uncover insights into complex biological systems.,Bioinformatics integrates biological data with ___ tools to uncover insights into complex biological systems.,"computational, bioinformatics",تجمع المعلوماتية الحيوية بين البيانات البيولوجية والأدوات الحسابية للكشف عن رؤى حول الأنظمة البيولوجية المعقدة.,Hard,Health
يتميز مرض الانسداد الرئوي المزمن بحدود مستمرة في تدفق الهواء، وينتج بشكل أساسي عن التعرض طويل الأمد للمهيجات.,يتميز مرض الانسداد ___ ___ بحدود مستمرة في تدفق ___ وينتج بشكل أساسي عن التعرض طويل الأمد للمهيجات.,"الهواء،, الرئوي, المزمن",Chronic obstructive pulmonary disease is characterized by persistent airflow limitation and is primarily caused by long-term exposure to irritants.,Hard,Health
"People will let you down, but you have to keep going anyway.","People will ___ you ___, but you have to keep ___ anyway.","going, let, down",الناس سيخذلونك، لكن عليك أن تستمر في المضي قدمًا على أي حال.,Hard,Subtitle
أدى ظهور الذكاء الاصطناعي في التشخيص إلى تحسين دقة وكفاءة الكشف عن الأمراض.,أدى ___ الذكاء الاصطناعي في ___ إلى ___ دقة وكفاءة الكشف عن الأمراض.,"ظهور, التشخيص, تحسين",The advent of artificial intelligence in diagnostics is improving the accuracy and efficiency of disease detection.,Hard,Health
The global economic outlook has improved due to strong growth in emerging markets.,The global ___ outlook has ___ due to strong growth in emerging ___.,"improved, economic, markets",تحسنت النظرة الاقتصادية العالمية بسبب النمو القوي في الأسواق الناشئة.,Hard,EcoFinancial
"Advances in wearable technology facilitate real-time health monitoring, enabling early detection of anomalies.","Advances in ___ technology facilitate real-time health monitoring, enabling early detection of ___.","wearable, anomalies",إن التقدم في التكنولوجيا القابلة للارتداء يسهل مراقبة الصحة في الوقت الحقيقي، مما يتيح الكشف المبكر عن الحالات الشاذة.,Hard,Health
The financial institution's solvency ratio meets the regulatory requirements.,The financial ___ ___ ratio meets the regulatory ___.,"institution's, requirements, solvency",تتجاوز نسبة ملاءة رأس المال للمؤسسة المالية الحد الأدنى المطلوب.,Hard,EcoFinancial
The central bank's interest rate hike aims to curb inflation.,The ___ bank's interest rate hike aims to ___ ___.,"central, curb, inflation",تهدف زيادة سعر الفائدة من قبل البنك المركزي إلى كبح التضخم.,Hard,EcoFinancial
تقلص العجز التجاري مع زيادة الصادرات.,___ العجز ___ مع زيادة ___,"التجاري, الصادرات., تقلص",The trade deficit has narrowed as exports have risen.,Hard,EcoFinancial
حكمت محكمة الاستئناف بأن المحكمة الابتدائية أخطأت في تفسير القانون وأعادت القضية لإجراء مزيد من الإجراءات.,___ محكمة الاستئناف بأن المحكمة الابتدائية أخطأت في تفسير ___ ___ القضية لإجراء مزيد من الإجراءات.,"القانون, وأعادت, حكمت",The appellate court ruled that the trial court had erred in its interpretation of the law and remanded the case for further proceedings.,Hard,Legal
قدم محامي المتهم طلبًا لاستبعاد الأدلة التي تم الحصول عليها من خلال تفتيش ومصادرة غير قانونية.,قدم محامي المتهم ___ لاستبعاد الأدلة التي تم الحصول عليها من خلال ___ ومصادرة غير ___,"قانونية., تفتيش, طلبًا",The defendant's counsel filed a motion to suppress evidence obtained through an unlawful search and seizure.,Hard,Legal
يعمل التوازي بين البراءة والفساد في شعر ويليام بليك كانتقاد للمؤسسات الاجتماعية والدينية.,يعمل التوازي بين ___ والفساد في شعر ويليام بليك ___ ___ الاجتماعية والدينية.,"كانتقاد, البراءة, للمؤسسات",The juxtaposition of innocence and corruption in William Blake's poetry serves as a critique of social and religious institutions.,Hard,Litrature
"The narrative technique of unreliable narration in Charlotte Perkins Gilman's ""The Yellow Wallpaper"" underscores themes of mental illness and oppression.","The narrative technique of unreliable narration in Charlotte Perkins Gilman's ""The Yellow Wallpaper"" ___ themes of mental ___ and ___.","illness, underscores, oppression","تسلط تقنية السرد غير الموثوقة في ""ورق الجدران الأصفر"" لشارلوت بيركنز جيلمان الضوء على مواضيع المرض العقلي والقمع.",Hard,Litrature
What do you think happens when you push people too far? You find out just how far they'll go.,What do you think ___ when you push people too ___? You ___ out just how far they'll go.,"happens, far, find",ماذا تعتقد يحدث عندما تدفع الناس إلى أقصى الحدود؟ ستكتشف إلى أي مدى يمكنهم الذهاب.,Hard,Subtitle
لدينا جميعاً أسرار، لكن بعض الأسرار أخطر من غيرها.,لدينا ___ أسرار، لكن بعض ___ أخطر من ___,"جميعاً, الأسرار, غيرها.","We all have secrets, but some secrets are more dangerous than others.",Hard,Subtitle
"The disillusionment of the American Dream in John Steinbeck's ""The Grapes of Wrath"" is portrayed through the plight of the Joad family.","The ___ of the American Dream in John Steinbeck's ""The Grapes of Wrath"" is ___ through the ___ of the Joad family.","disillusionment, plight, portrayed","يتم تصوير خيبة الأمل في الحلم الأمريكي في ""عناقيد الغضب"" لجون شتاينبك من خلال معاناة عائلة جود.",Hard,Litrature
تم رفض طلب المدعى عليه بالحكم المبدئي بسبب وجود حقائق مادية غير محلولة.,تم رفض طلب ___ عليه بالحكم المبدئي بسبب وجود حقائق ___ غير ___,"محلولة., مادية, المدعى",The defendant's motion for summary judgment was denied due to unresolved material facts.,Hard,Legal
