sentence,correct_translation,choices,Eng_Difficulty_Label,Topic_Label
The juxtaposition of the mundane and the extraordinary in Gabriel García Márquez's 'Love in the Time of Cholera' reflects the persistence of love through time.,يعكس التوازي بين العادي والاستثنائي في 'الحب في زمن الكوليرا' لغابرييل غارسيا ماركيز استمرارية الحب عبر الزمن.,"[""يعكس التناقض بين العادي والاستثنائي في 'الحب في زمن الكوليرا' لغابرييل غارسيا ماركيز استمرارية الكراهية عبر الزمن."", ""يعكس التطابق بين العادي والاستثنائي في 'الحب في زمن الكوليرا' لغابرييل غارسيا ماركيز استمرارية الحياة عبر الزمن."", ""يعكس الاختلاف بين العادي والاستثنائي في 'الحب في زمن الكوليرا' لغابرييل غارسيا ماركيز استمرارية الفقد عبر الزمن.""]",Hard,Litrature
قرر المحكمة، وفقًا لتقديرها، إصدار أمر تقييدي مؤقت لمنع حدوث ضرر غير قابل للإصلاح للمدعي في انتظار الحكم النهائي في القضية.,"The court, in its discretion, decided to issue a temporary restraining order to prevent further irreparable harm to the plaintiff while awaiting the final resolution of the case.","['The court decided to not issue a temporary restraining order to prevent further irreparable harm to the plaintiff while awaiting the final resolution of the case.', 'The court decided to issue a permanent restraining order to prevent further irreparable harm to the plaintiff while awaiting the final resolution of the case.', 'The court decided to issue a temporary restraining order to prevent further irreparable harm to the defendant while awaiting the final resolution of the case.']",Hard,Legal
The capital markets are experiencing increased volatility due to geopolitical tensions.,تشهد أسواق رأس المال تقلبات متزايدة بسبب التوترات الجيوسياسية.,"['تشهد أسواق رأس المال استقرارًا متزايدًا بسبب التوترات الجيوسياسية.', 'تشهد أسواق رأس المال انخفاضًا متزايدًا بسبب التوترات الجيوسياسية.', 'تشهد أسواق رأس المال تحسنًا متزايدًا بسبب التوترات الجيوسياسية.']",Hard,EcoFinancial
منحت المحكمة طلب المدعي للحصول على أمر حماية لمنع الكشف عن أسرار التجارة.,The court granted the plaintiff's motion for a protective order to prevent the disclosure of trade secrets.,"[""The court denied the plaintiff's motion for a protective order to prevent the disclosure of trade secrets."", ""The court granted the defendant's motion for a protective order to prevent the disclosure of trade secrets."", 'The court did not issue any protective order.']",Hard,Legal
يدعو التأمل الوجودي حول الحرية والمسؤولية في 'الغثيان' لسارتر القراء لمواجهة عبثية الوجود البشري.,The existential reflection on freedom and responsibility in Sartre's 'Nausea' invites readers to confront the absurdity of human existence.,"[""The existential reflection on freedom and responsibility in Sartre's 'Nausea' invites readers to embrace the meaning of human existence."", ""The existential reflection on freedom and responsibility in Sartre's 'Nausea' invites readers to avoid the absurdity of human existence."", ""The existential reflection on freedom and responsibility in Sartre's 'Nausea' does not discuss the human existence.""]",Hard,Litrature
تسمح التقدمات في الطب الشخصي بتخصيص نظم العلاج بناءً على الملف الجيني الفريد للفرد وخصائص المرض.,Advances in personalized medicine allow for the tailoring of treatment regimens based on an individual's unique genetic profile and disease characteristics.,"['Advances in personalized medicine allow for the tailoring of treatment regimens based on the symptoms of the disease.', ""Advances in personalized medicine do not allow for tailoring of treatment regimens based on an individual's unique genetic profile."", 'Advances in personalized medicine allow for the tailoring of treatment regimens based on the doctor’s preferences.']",Hard,Health
ليس الأمر عن الفوز أو الخسارة؛ إنه عن البقاء على قيد الحياة عندما يتخلى الجميع.,It’s not about winning or losing; it’s about surviving when everyone else has given up.,"['It’s about winning not surviving when everyone else has given up.', 'It’s about losing not surviving when everyone else has given up.', 'It’s about winning and losing, not surviving when everyone else has given up.']",Hard,Subtitle
كما تمت مناقشة المقترحات من خلال الوسائل الإلكترونية في اجتماعات عقدت على نطاق الأمانة العامة.,The proposals had also been discussed by electronic means and at meetings throughout the Secretariat.,"['The proposals had only been discussed by electronic means.', 'The proposals had only been discussed at meetings.', 'The proposals had not been discussed at all.']",Hard,Legal
شهد قطاع العقارات نموًا كبيرًا مدفوعًا بالاستثمار الأجنبي.,"The real estate sector has seen significant growth, driven by foreign investment.","['The real estate sector has seen significant growth, driven by local investment.', 'The real estate sector has seen significant decline, driven by foreign investment.', 'The real estate sector has seen no growth, driven by foreign investment.']",Hard,EcoFinancial
لقد أثار ظهور سلالات جديدة من COVID-19، مثل سلالات دلتا وأوميكرون، القلق بشأن مقاومة محتملة للعلاجات واللقاحات الحالية.,"The emergence of new COVID-19 variants, such as the Delta and Omicron strains, has raised concerns about potential resistance to existing treatments and vaccines.","['The emergence of new COVID-19 variants has raised no concerns about potential resistance to existing treatments and vaccines.', 'The emergence of new COVID-19 variants has raised concerns about potential increase in the effectivity of existing treatments and vaccines.', 'The emergence of new COVID-19 variants has decreased concerns about potential resistance to existing treatments and vaccines.']",Hard,Health
ينتقد التصوير الساخر للبيروقراطية في 'المحاكمة' لفرانز كافكا الجوانب اللاإنسانية للمجتمع الحديث.,The satirical portrayal of bureaucracy in Franz Kafka's 'The Trial' critiques the dehumanizing aspects of modern society.,"[""The satirical portrayal of bureaucracy in Franz Kafka's 'The Trial' celebrates the humanizing aspects of modern society."", ""The serious portrayal of bureaucracy in Franz Kafka's 'The Trial' critiques the dehumanizing aspects of ancient society."", ""The satirical portrayal of bureaucracy in Franz Kafka's 'The Trial' has nothing to do with dehumanizing aspects of modern society.""]",Hard,Litrature
تخضع وضعية السيولة للمؤسسة المالية للتدقيق من قبل المنظمين.,The financial institution's liquidity position is under scrutiny by regulators.,"[""The financial institution's profitability is under scrutiny by regulators."", ""The financial institution's stability is not under scrutiny by regulators."", ""The financial institution's ethical behavior is under scrutiny by regulators.""]",Hard,EcoFinancial
أنت تواصل الانتظار لشخص لينقذك، لكن لا أحد سيأتي.,"You keep waiting for someone to save you, but no one is coming.","['You keep waiting for someone to save you, and someone is coming.', 'You keep waiting for someone to attack you, but no one is coming.', 'You keep waiting for someone to help you, but someone is coming.']",Hard,Subtitle
لا يوجد أبطال هنا. فقط أشخاص يفعلون ما يمكنهم للبقاء على قيد الحياة.,There are no heroes here. Just people doing what they can to survive.,"['There are many heroes here. Just people doing what they can to survive.', 'There are no heroes here. Just people doing whatever they want.', 'There are many heroes here and they have an easy life.']",Hard,Subtitle
تلعب التعديلات الجينية اللاجينية، مثل مثيلة الحمض النووي، دورًا حاسمًا في تنظيم التعبير الجيني وقابلية الإصابة بالأمراض.,"Epigenetic modifications, such as DNA methylation, play a crucial role in regulating gene expression and disease susceptibility.","['Epigenetic modifications play a small role in regulating gene expression and disease susceptibility.', 'Epigenetic modifications play no role in regulating gene expression and disease susceptibility.', 'Epigenetic modifications such as protein synthesis have a crucial role in regulating gene expression.']",Hard,Health
يتحدى قلب الأدوار الجندرية التقليدية في 'أورلاندو' لفرجينيا وولف المعايير الاجتماعية ويستكشف مرونة الهوية.,The subversion of traditional gender roles in Virginia Woolf's 'Orlando' challenges societal norms and explores the fluidity of identity.,"[""The reinforcement of traditional gender roles in Virginia Woolf's 'Orlando' challenges societal norms and explores the fluidity of identity."", ""The subversion of traditional gender roles in Virginia Woolf's 'Orlando' supports societal norms and explores the fluidity of identity."", ""The subversion of traditional gender roles in Virginia Woolf's 'Orlando' has no relation to societal norms and the fluidity of identity.""]",Hard,Litrature
يعرض الاستكشاف المعقد للحالة الإنسانية في 'المحاكمة' لفرانز كافكا انتقادًا للطبيعة القمعية للبيروقراطية والنظم القانونية.,The intricate exploration of the human condition in Franz Kafka's 'The Trial' critiques the oppressive nature of bureaucracy and legal systems.,"[""The simple exploration of the human condition in Franz Kafka's 'The Trial' supports the oppressive nature of bureaucracy and legal systems."", ""The complex exploration of the human condition in Franz Kafka's 'The Trial' critiques the liberating nature of bureaucracy and legal systems."", ""The intricate exploration of the animal condition in Franz Kafka's 'The Trial' critiques the oppressive nature of bureaucracy and legal systems.""]",Hard,Litrature
يغوص استكشاف الخوف الوجودي في 'موبي ديك' لهيرمان ميلفيل في البحث العميق عن المعنى في كون لا مبالي.,The exploration of existential dread in Herman Melville's 'Moby-Dick' delves into the profound search for meaning in an indifferent universe.,"[""The exploration of happiness in Herman Melville's 'Moby-Dick' delves into the profound search for meaning in an indifferent universe."", ""The exploration of existential dread in Herman Melville's 'Moby-Dick' delves into the shallow search for meaning in an indifferent universe."", ""The exploration of existential dread in Herman Melville's 'Moby-Dick' delves into the profound search for meaning in a caring universe.""]",Hard,Litrature
يتحمل المدعي عبء الإثبات لإثبات أن أفعال المدعى عليه تسببت مباشرة في الأضرار المزعومة، وعدم القيام بذلك قد يؤدي إلى رفض القضية.,"The plaintiff has the burden of proof to establish that the defendant’s actions directly caused the alleged damages, and failure to do so may result in the dismissal of the case.","['The defendant has the burden of proof to establish that the plaintiff’s actions directly caused the alleged damages.', 'The plaintiff does not have the burden of proof to establish that the defendant’s actions directly caused the alleged damages.', 'The defendant has no burden in proving the plaintiff’s actions caused the alleged damages.']",Hard,Legal
تعمل المجتمع الديستوبي الذي يصوره 'عالم جديد شجاع' لألدوس هكسلي كقصة تحذيرية حول التقدم التكنولوجي.,The dystopian society depicted in Aldous Huxley's 'Brave New World' serves as a cautionary tale about technological advancement.,"[""The utopian society depicted in Aldous Huxley's 'Brave New World' serves as a cautionary tale about technological advancement."", ""The society depicted in Aldous Huxley's 'Brave New World' serves as an encouraging tale about technological advancement."", ""The society depicted in Aldous Huxley's 'Brave New World' has no connection to technological advancement.""]",Hard,Litrature
يضيف استخدام الرواة غير الموثوقين في الأدب، كما في 'فتاة مفقودة' لجيلين فلين، تعقيدًا للسرد.,"The use of unreliable narrators in literature, such as in Gillian Flynn's 'Gone Girl', adds complexity to the narrative.","[""The use of reliable narrators in literature, such as in Gillian Flynn's 'Gone Girl', adds simplicity to the narrative."", ""The use of unreliable narrators in literature, such as in Gillian Flynn's 'Gone Girl', adds clarity to the narrative."", 'The use of unreliable narrators in literature does not affect the complexity of the narrative.']",Hard,Litrature
